model,group,n_subjects,main_result,me,mae,rmse
causalgaitnet_4ch_extended,overall,22,False,-0.9649720410393043,6.101559270511974,8.95339552706326
causalgaitnet_4ch_extended,healthy,11,False,-0.8701493821360848,6.884640606966886,9.695108708906377
causalgaitnet_4ch_extended,unhealthy,11,False,-1.0597946999425238,5.3184779340570625,8.211682345220137
causalgaitnet_multihorizon_4ch_extended,overall,22,False,-0.9424998191269961,6.224381663582542,9.168607272051997
causalgaitnet_multihorizon_4ch_extended,healthy,11,False,-0.8854320862076499,7.241013678637418,10.09506720153562
causalgaitnet_multihorizon_4ch_extended,unhealthy,11,False,-0.9995675520463423,5.207749648527666,8.242147342568376
mlp_rf_vm_original,overall,22,False,0.47631730139255524,8.422645330429077,12.470290284281617
mlp_rf_vm_original,healthy,11,False,1.441433768380772,8.09495886889371,11.482021826213064
mlp_rf_vm_original,unhealthy,11,False,-0.4887991655956615,8.750331791964443,13.458558742350174
transformer_4ch_extended,overall,22,True,-1.036351821639321,6.296599355610934,9.033915257953181
transformer_4ch_extended,healthy,11,True,-0.5571783855557442,7.394005905498158,10.006384570922286
transformer_4ch_extended,unhealthy,11,True,-1.515525257722898,5.199192805723711,8.061445944984078
transformer_rf_vm_original,overall,22,False,-1.3104327510703693,9.057457024400884,13.978785104769894
transformer_rf_vm_original,healthy,11,False,-1.5642626719041304,8.977632067420267,13.446007250784659
transformer_rf_vm_original,unhealthy,11,False,-1.0566028302366084,9.137281981381504,14.511562958755123
