subject,status,comparison_basis,nomultiscale_MAE,nomultiscale_RMSE,multiscale_MAE,multiscale_RMSE,delta_MAE_nomulti_minus_multi,delta_RMSE_nomulti_minus_multi
10Amar,unhealthy,seed_42,6.497197151184082,9.645112660938052,7.034819602966309,9.523419875393865,-0.5376224517822266,0.12169278554418739
10Nmar,healthy,seed_42,12.906318664550781,14.589887152713219,13.199909210205078,15.401868711765243,-0.2935905456542969,-0.8119815590520236
11Amar,unhealthy,seed_42,6.418615341186523,8.902275617471838,5.501984119415283,7.337620551241656,0.9166312217712402,1.5646550662301824
11Nmar,healthy,seed_42,6.4310431480407715,7.900682019116292,5.105504035949707,6.304872039779101,1.3255391120910645,1.595809979337191
1Amar,unhealthy,seed_42,4.018232822418213,6.899091644204817,5.283529281616211,7.869278297536075,-1.265296459197998,-0.9701866533312584
1Nmar,healthy,seed_42,12.056648254394531,15.817805067496575,8.862914085388184,10.726520891101927,3.1937341690063477,5.091284176394648
2Amar,unhealthy,seed_42,4.909307479858398,7.583764312011333,4.243627548217773,7.187286639156563,0.665679931640625,0.3964776728547701
2Nmar,healthy,seed_42,8.091060638427734,12.740645024665401,7.600471496582031,10.57008838627437,0.4905891418457031,2.17055663839103
3Amar,unhealthy,seed_42,3.748981475830078,7.854194404964558,3.822080612182617,7.6475631323182265,-0.07309913635253906,0.20663127264633108
3Nmar,healthy,seed_42,10.796127319335938,15.658673188380547,11.89080810546875,16.138947834571844,-1.0946807861328125,-0.48027464619129745
4Amar,unhealthy,seed_42,6.145975112915039,11.842911904507678,5.956466197967529,11.061633404770879,0.18950891494750977,0.7812784997367999
4Nmar,healthy,seed_42,6.058916091918945,8.704249639801938,6.380787372589111,9.316994625681636,-0.321871280670166,-0.6127449858796972
5Amar,unhealthy,seed_42,5.485377788543701,9.107411613024993,5.714633464813232,9.600472645250703,-0.22925567626953125,-0.4930610322257092
5Nmar,healthy,seed_42,6.704065322875977,9.152999352985978,5.8038530349731445,8.065738471148252,0.900212287902832,1.0872608818377252
6Amar,unhealthy,seed_42,3.7384703159332275,6.874593549331179,4.014097213745117,6.475213843389803,-0.27562689781188965,0.3993797059413753
6Nmar,healthy,seed_42,7.257593154907227,9.660911249812711,7.188317775726318,9.995673197239675,0.0692753791809082,-0.33476194742696386
7Amar,unhealthy,seed_42,7.578294277191162,10.730993812804535,7.413111686706543,10.900403398521005,0.16518259048461914,-0.1694095857164708
7Nmar,healthy,seed_42,4.6574320793151855,5.76523892730527,4.755880355834961,5.883735817316134,-0.09844827651977539,-0.11849689001086361
8Amar,unhealthy,seed_42,7.642363548278809,11.71240388063381,6.7376837730407715,8.912567146979262,0.9046797752380371,2.7998367336545478
8Nmar,healthy,seed_42,3.93291974067688,6.332652339797147,3.5260963439941406,5.626810587779463,0.40682339668273926,0.7058417520176841
9Amar,unhealthy,seed_42,5.003730773925781,7.117731234804262,4.524054527282715,6.706040964130599,0.4796762466430664,0.41169027067366315
9Nmar,healthy,seed_42,6.034787654876709,10.836164564244072,4.460623741149902,7.543005415255917,1.5741639137268066,3.2931591489881553
