feature,RF_max,RF_variance,RF_mean_absolute_value,RF_mean,RF_min,RF_rms,RF_zero_crossings,RF_std,RF_waveform_length,RF_integrated_emg,RF_slope_sign_changes,RF_skewness,RF_kurtosis,RF_spectral_centroid,BF_max,BF_variance,BF_mean_absolute_value,BF_mean,BF_min,BF_rms,BF_zero_crossings,BF_std,BF_waveform_length,BF_integrated_emg,BF_slope_sign_changes,BF_skewness,BF_kurtosis,BF_spectral_centroid,VM_max,VM_variance,VM_mean_absolute_value,VM_mean,VM_min,VM_rms,VM_zero_crossings,VM_std,VM_waveform_length,VM_integrated_emg,VM_slope_sign_changes,VM_skewness,VM_kurtosis,VM_spectral_centroid,ST_max,ST_variance,ST_mean_absolute_value,ST_mean,ST_min,ST_rms,ST_zero_crossings,ST_std,ST_waveform_length,ST_integrated_emg,ST_slope_sign_changes,ST_skewness,ST_kurtosis,ST_spectral_centroid
RF_max,0.9999999999999999,0.8726024763873957,0.8962563256403188,0.002330151483185407,-0.9015766992952033,0.9459473291881715,-0.46644466879003804,0.9461962198477875,0.8802453837393319,0.8962563261061949,-0.47603482427156446,0.1379822765314649,0.10762942008534307,-0.47786346452944417,0.1312983537731358,0.16250397763702693,0.242501053803109,0.09284605051953237,-0.32245518683770247,0.24066919851328802,0.006936318424899044,0.24140567880594846,0.21969970969880503,0.2425010533739298,-0.02216653170763647,-0.17868353910621154,0.0029886824878721944,-0.07803587743046095,0.5874689338701831,0.5219175183249427,0.5920334908891147,0.04352865430229064,-0.5769797954039223,0.5968061623438516,-0.25544452764507514,0.5966938916301417,0.6364093986765628,0.5920334910411288,-0.34461931367708526,-0.04384903730109555,0.13470213578165163,-0.29676321811535467,0.23968577030704435,0.2067744557412426,0.30318309320581033,-0.08716662620702036,-0.36931427499019853,0.3118773194877931,0.11818618669008744,0.3122668651356876,0.2949902810416122,0.30318309330658694,0.1913519456091426,-0.26999511467686665,0.034678497460797396,0.0885200104358333
RF_variance,0.8726024763873957,1.0,0.887679441410977,-0.03880410353497772,-0.8415640476745074,0.9087540227026707,-0.33124498004664277,0.9090585294315885,0.8184964289305036,0.8876794410334892,-0.36153152131959465,0.01919830293547848,0.0012448906997165605,-0.34521943914478,0.10155960644388387,0.1176968013071513,0.18121572954545187,0.07106161534422874,-0.27419817576796957,0.18341610807124079,0.010540625649090366,0.18383178720835672,0.17663828329355785,0.18121572865808117,-0.0028356513400891637,-0.136092960243048,0.016188531853652675,-0.0469542994746339,0.5614016853068856,0.5598439149042641,0.5607263282978886,0.03702377497350965,-0.5235851171196911,0.5609776385606415,-0.18440330886309633,0.561004162388282,0.5946542742871646,0.5607263286640994,-0.25781718731503717,0.004555055127728316,0.07721791666029318,-0.22728686446370025,0.15602290318539916,0.1379125383531247,0.2157950163551639,-0.06029177452965197,-0.2706164428519457,0.223001398951878,0.06722813414927951,0.2232420475028186,0.19642257051416717,0.21579501641027238,0.1317963958267481,-0.21678510654671398,0.02712647363188662,0.03514519543933423
RF_mean_absolute_value,0.8962563256403188,0.8876794414109769,0.9999999999999999,-0.06426086721864861,-0.874237791899514,0.9851162189022628,-0.5353383171576875,0.9850276867908004,0.9123905291040123,0.9999999999999993,-0.5442101262680422,0.019704977468418667,-0.05884170329519627,-0.566449407968937,0.12750182220435669,0.158782460208179,0.24931368796779305,0.13198624375993717,-0.339197482186333,0.2459844654907766,-0.012721827627154486,0.2468261987336128,0.22822018940709946,0.2493136874916591,-0.04220745248180763,-0.1857247042239197,0.0015834513427621045,-0.09793061046724114,0.6262350380722878,0.5435283185873775,0.6479604719164229,0.057436362307820225,-0.6033174244571188,0.6372406700189015,-0.29308729316445725,0.6370552279506969,0.7037549270905326,0.647960471998,-0.3938863812141724,-0.027064437201811235,0.12499661896846731,-0.33303870580447986,0.25684312396063047,0.22776060721681196,0.3311622102976893,-0.11299988442294552,-0.3778481860220395,0.3360206147259472,0.08923229343235127,0.3363415779429558,0.300054809863465,0.3311622102907675,0.1602889450980889,-0.2697392746836986,0.018994356529722017,0.07047020774930499
RF_mean,0.002330151483185407,-0.038804103534977714,-0.06426086721864861,1.0,0.1124431895561929,-0.0660942547444697,0.06623116704557457,-0.06488839084754894,-0.032018007603104214,-0.06426086620130123,0.0975951033537312,0.13066794923186587,-0.006251514570642514,0.07689219355006482,-0.001968202037024784,-0.012029180542537422,-0.004900210013025366,0.003801571214855435,0.029182284091145892,-0.0077169980797130045,-0.009660728732628757,-0.00778283227557304,-0.02295452185837909,-0.004900209557221268,-0.00773558135418722,0.051624739236968455,-0.02794848456354448,-0.045906305581359726,-0.03823409018513434,-0.07828958256249258,-0.09243594398725605,0.045661793227278626,0.09774671483017336,-0.08614497225235375,0.07097023671486943,-0.08582350096915956,-0.05790214922332877,-0.09243594418982659,0.13292636728952992,0.0786310611970557,0.045481600575558036,0.08006437133487944,0.06615357019373601,0.08693238763902238,0.07269307945230195,0.07824828537634561,-0.03377147089693747,0.06679627735539702,-0.01204815577269346,0.06682734838141624,0.048210442292491974,0.07269308033716694,0.024077731842807384,0.05662036961560822,-0.037448745325103824,-0.026832251982193217
RF_min,-0.9015766992952033,-0.8415640476745074,-0.8742377918995141,0.1124431895561929,1.0,-0.9296820943983117,0.4574063250243938,-0.9298392021976749,-0.8632441754481022,-0.8742377920739501,0.47648260065033154,0.09292142614896086,-0.11459844258218,0.4642414683273928,-0.115652842332827,-0.13631673431642713,-0.21887948272245533,-0.08621257700903429,0.28382103689289245,-0.2157758183957782,-0.014882570353673005,-0.21651803176822632,-0.19606063025088888,-0.21887948211206465,0.02469871880743984,0.15999521606825487,-0.005387565454368334,0.07687199421041105,-0.628381783674248,-0.5720821122316787,-0.6240655446192404,-0.02700614922723528,0.6184910158522912,-0.6357286239719679,0.26916549816211993,-0.63558708984669,-0.6505806422952086,-0.6240655448880112,0.37185592689934954,0.03861447354277942,-0.15811895169357768,0.3164101147649805,-0.23415500189275626,-0.2003936432984706,-0.29318307224328444,0.097727675121547,0.3588182994222563,-0.3031724089095914,-0.10646321024395031,-0.3035080009479038,-0.2778246998360363,-0.2931830722583715,-0.17101294522062052,0.2616748381728643,-0.047500707933080394,-0.07302121358634683
RF_rms,0.9459473291881715,0.9087540227026706,0.9851162189022626,-0.06609425474446969,-0.9296820943983117,0.9999999999999999,-0.5226688659754458,0.9999845750716424,0.9174107615288835,0.985116219041136,-0.5364938943117235,0.02254026547440619,0.0035380551625374505,-0.551045063236972,0.12786986439286296,0.15728316905118336,0.24617972520599005,0.11685123369867627,-0.3341643869752752,0.24370299786314725,-0.003591951396727011,0.24452743487889164,0.22460944903621222,0.24617972469444097,-0.03660245121771265,-0.18626617926639935,0.005968727213293684,-0.09054269364573471,0.6390903899405732,0.5635321612699156,0.6517885294830487,0.047536076695427434,-0.6216644051547953,0.6497923878694679,-0.2935809026959831,0.6496136594601326,0.6972331811742108,0.6517885296485937,-0.3956351207193346,-0.03408944711783728,0.13713789693158665,-0.3350659695860117,0.2565044426155321,0.22401985024304105,0.32740397286785755,-0.1113735988363542,-0.384971523619183,0.33482699869225213,0.0996003370567001,0.33516040561028493,0.30278913249165396,0.32740397291063833,0.17402562823981513,-0.28025273273101775,0.030424477755714493,0.0776536473526374
RF_zero_crossings,-0.46644466879003804,-0.33124498004664277,-0.5353383171576875,0.06623116704557457,0.4574063250243938,-0.5226688659754458,0.9999999999999998,-0.5219195174027796,-0.3992888341992715,-0.535338317406225,0.6912667250928526,-0.07866480339054303,0.18091153996409787,0.8667031206657071,-0.054610678906501196,-0.08543456863026781,-0.20452977257686494,-0.21803373122861833,0.29196932871675113,-0.19445863966603685,0.08199923759456965,-0.1965294648524774,-0.1743069374678646,-0.20452977224326838,0.06421700431729382,0.2776277493008958,0.0037775022540552394,0.15591187820509148,-0.43184917619881247,-0.28480941769250273,-0.46144687041150795,-0.011409139205346218,0.44057314941322995,-0.45402357489413736,0.5111304314502928,-0.4537173093110707,-0.4412400580732074,-0.46144687027229203,0.5192919186451672,0.04504783979632133,-0.1286060052286598,0.4825261481635931,-0.31241851874047216,-0.2713672545478609,-0.3909438577011902,0.11683543277974655,0.44873827847761777,-0.3959132511397823,-0.027444141508294863,-0.39620785692988497,-0.37453015950529783,-0.39094385749334737,-0.18966818591289583,0.37103177827953215,-0.023413505342392456,-0.050902778506401465
RF_std,0.9461962198477875,0.9090585294315885,0.9850276867908004,-0.06488839084754894,-0.9298392021976749,0.9999845750716423,-0.5219195174027796,1.0,0.9177116662049333,0.985027686925284,-0.5362897353086825,0.022585682815365445,0.003894912365410881,-0.5503725079110985,0.12782372896097186,0.1573136032142088,0.2461268236140841,0.11664800295353261,-0.3339983364614817,0.2436143804180818,-0.0034915364974465696,0.2444363760329958,0.22460949459526416,0.24612682310222533,-0.036597497669921104,-0.18620583831020776,0.005673373697300799,-0.0905098927821236,0.6392053586650536,0.5637401876214777,0.6518403008922298,0.0473859997793038,-0.6216806815894785,0.649848257236936,-0.2931470505118129,0.6496717417193613,0.697438810334262,0.6518403010588827,-0.3951578310309367,-0.03408828338146752,0.1371557422695236,-0.3347789130725076,0.25625313394290616,0.22383449568607902,0.32711346218588544,-0.11076650705583463,-0.3846423691648441,0.33452392333805675,0.10001169086867849,0.3348600889747008,0.3026295972023932,0.32711346222929566,0.17406060924072633,-0.27990014709469807,0.030459266063819948,0.07782371517384962
RF_waveform_length,0.8802453837393319,0.8184964289305036,0.9123905291040122,-0.03201800760310421,-0.8632441754481021,0.9174107615288836,-0.3992888341992716,0.9177116662049334,0.9999999999999998,0.9123905295616448,-0.3886420352735229,0.0001359962765094434,0.0016424967293830928,-0.42846943524666437,0.17063410016809508,0.1811481415057477,0.25411518051605914,0.13265481733415224,-0.2953633681336321,0.25100284685964674,0.02762893391226788,0.2518646185617032,0.23956251240020102,0.2541151802010865,-0.00843699308649103,-0.11746300896430989,-0.0021487183591692135,-0.07554318661060845,0.5988241453844219,0.540806661385408,0.6026533751291641,0.06253356293828681,-0.5711249804523234,0.598672741191792,-0.17503168391220023,0.598685531390598,0.7228392395735725,0.6026533753252553,-0.27201881983574466,-0.020937855459334083,0.10747332795170784,-0.23296165066472366,0.23843625347106,0.2032031654076084,0.2941551458765233,-0.07382990211557261,-0.33606900441636384,0.29979202457861426,0.12332563333309976,0.3002546773640667,0.2736088348123613,0.2941551458482577,0.17631079843113612,-0.199262652619519,0.02862931698282518,0.07274923051448727
RF_integrated_emg,0.8962563261061949,0.8876794410334892,0.9999999999999993,-0.06426086620130123,-0.8742377920739501,0.985116219041136,-0.535338317406225,0.985027686925284,0.9123905295616448,1.0,-0.5442101264028238,0.019704977626335576,-0.05884170308271549,-0.5664494081480215,0.12750182202995203,0.158782460018876,0.24931368783517951,0.13198624424624328,-0.3391974819790489,0.24598446534950108,-0.012721827543296926,0.24682619859455096,0.22822018926674723,0.24931368735904558,-0.0422074523912698,-0.185724704280224,0.0015834511821972129,-0.09793061037393154,0.626235038177248,0.5435283186927585,0.6479604719998773,0.057436361574566976,-0.6033174248694946,0.6372406702194213,-0.2930872931748891,0.6370552281489252,0.7037549274114325,0.6479604720814545,-0.3938863811876039,-0.02706443787244814,0.1249966189734119,-0.3330387058368545,0.2568431239973981,0.2277606069141744,0.3311622101461794,-0.11299988480569786,-0.37784818609358395,0.33602061462875155,0.08923229359267931,0.3363415778451277,0.3000548099374984,0.33116221013925795,0.16028894529139945,-0.2697392746429328,0.01899435654965353,0.0704702079511841
