condition,subject,status,n_test,ME,MAE,RMSE,protocol
clean,1Nmar,healthy,1011,6.417690277099609,10.367950439453125,12.495608969965147,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.05,1Nmar,healthy,1011,6.4108076095581055,10.382186889648438,12.510442415582023,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.10,1Nmar,healthy,1011,6.441985130310059,10.369340896606445,12.50961361270834,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_RF,1Nmar,healthy,1011,11.105949401855469,16.448190689086914,20.383670389669458,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_BF,1Nmar,healthy,1011,1.3316627740859985,6.373439788818359,9.449535653145006,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_VM,1Nmar,healthy,1011,4.836136817932129,10.010658264160156,12.24461152812164,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_ST,1Nmar,healthy,1011,5.303115367889404,15.093170166015625,18.463578121290997,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_0.8,1Nmar,healthy,1011,5.994859218597412,11.19183349609375,13.745886169930248,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_1.2,1Nmar,healthy,1011,6.695696830749512,10.435173988342285,12.13997331242401,checkpoint_reuse_purged_temporal_test_only_perturbation
feature_smoothing_5,1Nmar,healthy,1011,6.423589706420898,10.362626075744629,12.492868449037672,checkpoint_reuse_purged_temporal_test_only_perturbation
clean,2Nmar,healthy,1351,-3.306915283203125,7.9615373611450195,11.795107354115824,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.05,2Nmar,healthy,1351,-3.3111891746520996,7.956358432769775,11.789052792615287,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.10,2Nmar,healthy,1351,-3.2814362049102783,7.945730209350586,11.763842281733131,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_RF,2Nmar,healthy,1351,-4.951243877410889,13.13332462310791,19.187590657868075,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_BF,2Nmar,healthy,1351,-1.8615057468414307,7.687798023223877,10.274924143861568,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_VM,2Nmar,healthy,1351,0.045190051198005676,9.156587600708008,13.502428754686715,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_ST,2Nmar,healthy,1351,-2.91111159324646,7.1967244148254395,9.821319309964483,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_0.8,2Nmar,healthy,1351,1.3830478191375732,9.327611923217773,11.488401451895815,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_1.2,2Nmar,healthy,1351,-6.647893905639648,8.85854434967041,14.990955423415679,checkpoint_reuse_purged_temporal_test_only_perturbation
feature_smoothing_5,2Nmar,healthy,1351,-3.3023931980133057,7.9585089683532715,11.786219188889824,checkpoint_reuse_purged_temporal_test_only_perturbation
clean,3Nmar,healthy,1259,-7.073495864868164,11.123970031738281,15.429504053498093,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.05,3Nmar,healthy,1259,-7.051398754119873,11.096871376037598,15.390885744935925,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.10,3Nmar,healthy,1259,-7.0963592529296875,11.115195274353027,15.442705643531946,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_RF,3Nmar,healthy,1259,-10.502680778503418,15.216903686523438,18.58673383907693,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_BF,3Nmar,healthy,1259,-7.42931604385376,10.731904029846191,15.212608147693592,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_VM,3Nmar,healthy,1259,-6.136408805847168,8.744200706481934,12.528415578173245,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_ST,3Nmar,healthy,1259,-6.337499618530273,12.041254043579102,16.666296586060483,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_0.8,3Nmar,healthy,1259,-5.299264907836914,9.408832550048828,12.172284923697434,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_1.2,3Nmar,healthy,1259,-7.582003116607666,11.86976432800293,16.96372346562981,checkpoint_reuse_purged_temporal_test_only_perturbation
feature_smoothing_5,3Nmar,healthy,1259,-7.079629898071289,11.156482696533203,15.478201026968541,checkpoint_reuse_purged_temporal_test_only_perturbation
clean,4Nmar,healthy,1379,-2.210958242416382,6.534016132354736,9.154520021082822,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.05,4Nmar,healthy,1379,-2.2177743911743164,6.526608467102051,9.139180074096243,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.10,4Nmar,healthy,1379,-2.2109732627868652,6.554115295410156,9.161141504849436,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_RF,4Nmar,healthy,1379,-2.529115676879883,6.629083156585693,9.334792522623612,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_BF,4Nmar,healthy,1379,-0.5569942593574524,6.961846828460693,10.12340354107111,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_VM,4Nmar,healthy,1379,1.0968180894851685,9.483977317810059,14.138193096301956,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_ST,4Nmar,healthy,1379,-3.139483690261841,9.2012939453125,11.788832109246446,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_0.8,4Nmar,healthy,1379,-1.663274884223938,6.600216865539551,9.020501416261807,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_1.2,4Nmar,healthy,1379,-2.2026283740997314,6.888575077056885,9.927976639467309,checkpoint_reuse_purged_temporal_test_only_perturbation
feature_smoothing_5,4Nmar,healthy,1379,-2.192244052886963,6.526089668273926,9.145108158729633,checkpoint_reuse_purged_temporal_test_only_perturbation
clean,5Nmar,healthy,1186,-2.8440868854522705,6.1714558601379395,8.813327615171454,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.05,5Nmar,healthy,1186,-2.8570525646209717,6.170167446136475,8.818671047579116,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.10,5Nmar,healthy,1186,-2.8528149127960205,6.176361560821533,8.823674901622978,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_RF,5Nmar,healthy,1186,-1.7979549169540405,6.186974048614502,8.118720812080664,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_BF,5Nmar,healthy,1186,-2.3305182456970215,5.101436614990234,7.695609180908501,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_VM,5Nmar,healthy,1186,-5.366363048553467,8.233419418334961,13.837883871072805,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_ST,5Nmar,healthy,1186,-4.494295120239258,9.330707550048828,14.266687627283783,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_0.8,5Nmar,healthy,1186,-2.77704119682312,6.799619197845459,9.412458126385319,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_1.2,5Nmar,healthy,1186,-5.1434502601623535,7.9702372550964355,12.214467734858463,checkpoint_reuse_purged_temporal_test_only_perturbation
feature_smoothing_5,5Nmar,healthy,1186,-2.844653606414795,6.171854496002197,8.814043058750276,checkpoint_reuse_purged_temporal_test_only_perturbation
clean,6Nmar,healthy,1335,-2.0901875495910645,6.516119480133057,8.88999553255499,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.05,6Nmar,healthy,1335,-2.0928962230682373,6.511750221252441,8.889235993072033,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.10,6Nmar,healthy,1335,-2.107144594192505,6.543920993804932,8.925878692028292,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_RF,6Nmar,healthy,1335,-2.0530056953430176,3.9899168014526367,5.974015554626873,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_BF,6Nmar,healthy,1335,-3.9951629638671875,9.252711296081543,13.148286633864124,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_VM,6Nmar,healthy,1335,-1.1484200954437256,8.655409812927246,11.515120144547314,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_ST,6Nmar,healthy,1335,2.831911087036133,7.9873857498168945,10.590104187478996,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_0.8,6Nmar,healthy,1335,-3.0486793518066406,7.7185378074646,10.16951920144577,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_1.2,6Nmar,healthy,1335,-0.5057095289230347,5.794338703155518,7.808960379790307,checkpoint_reuse_purged_temporal_test_only_perturbation
feature_smoothing_5,6Nmar,healthy,1335,-2.0832769870758057,6.517186164855957,8.886793011365544,checkpoint_reuse_purged_temporal_test_only_perturbation
clean,7Nmar,healthy,1504,3.309661865234375,5.616090774536133,6.994194893412054,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.05,7Nmar,healthy,1504,3.3095974922180176,5.62162446975708,6.997880614826552,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.10,7Nmar,healthy,1504,3.3150546550750732,5.632351398468018,7.01062649265956,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_RF,7Nmar,healthy,1504,5.27176570892334,8.162785530090332,10.719041825929015,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_BF,7Nmar,healthy,1504,2.6857714653015137,6.432361125946045,8.698639897108645,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_VM,7Nmar,healthy,1504,1.6662400960922241,5.4510321617126465,8.950003887154358,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_ST,7Nmar,healthy,1504,0.249627947807312,8.423739433288574,10.76946147000879,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_0.8,7Nmar,healthy,1504,5.708716869354248,6.418824672698975,8.06953064490752,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_1.2,7Nmar,healthy,1504,1.2766777276992798,6.3061699867248535,8.191800218530265,checkpoint_reuse_purged_temporal_test_only_perturbation
feature_smoothing_5,7Nmar,healthy,1504,3.311569929122925,5.617170810699463,6.992605936327437,checkpoint_reuse_purged_temporal_test_only_perturbation
clean,8Nmar,healthy,1720,0.6627469062805176,3.8002209663391113,5.835269098164886,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.05,8Nmar,healthy,1720,0.6748587489128113,3.8144876956939697,5.857713957268294,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.10,8Nmar,healthy,1720,0.6692959070205688,3.803797721862793,5.837969363700354,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_RF,8Nmar,healthy,1720,3.103203535079956,6.017985820770264,8.172977526306298,checkpoint_reuse_purged_temporal_test_only_perturbation
