condition,group,n_subjects,ME,MAE,RMSE,delta_MAE_vs_clean,delta_RMSE_vs_clean,protocol
clean,overall,22,-1.0363518253646113,6.296599388122559,9.033915209639295,0.0,0.0,checkpoint_reuse_purged_temporal_test_only_perturbation
clean,healthy,11,-0.5571783523667942,7.394005905498158,10.006384580379539,0.0,0.0,checkpoint_reuse_purged_temporal_test_only_perturbation
clean,unhealthy,11,-1.5155252983624286,5.199192870746959,8.061445838899054,0.0,0.0,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.05,overall,22,-1.0376343164931645,6.298160000280901,9.037185278036857,0.0015606121583418412,0.003270068397557663,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.05,healthy,11,-0.5623609030788596,7.393756064501676,10.00426410324409,-0.00024984099648215556,-0.0021204771354489697,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.05,unhealthy,11,-1.5129077299074694,5.202563936060125,8.070106452829618,0.0033710653131658382,0.008660613930564297,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.10,overall,22,-1.033637977459214,6.296419089490717,9.028585826722479,-0.00018029863184148616,-0.0053293829168177065,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.10,healthy,11,-0.5521625910292972,7.398559613661333,10.013330949540896,0.004553708163174716,0.006946369161354049,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.10,unhealthy,11,-1.5151133638891308,5.194278565320102,8.043840703904065,-0.004914305426857688,-0.01760513499498946,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_RF,overall,22,-1.3946576660329646,8.176597096703269,11.259341723844608,1.8799977085807107,2.2254265142053113,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_RF,healthy,11,0.10161973129619252,10.111166433854537,13.204115928168385,2.717160528356379,3.197731347788846,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_RF,unhealthy,11,-2.8909350633621216,6.242027759552002,9.314567519520832,1.0428348888050427,1.2531216806217778,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_BF,overall,22,-0.5429897172884508,7.6319099339571865,10.998430714503728,1.335310545834628,1.964515504864432,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_BF,healthy,11,-0.8208241733637723,7.869068839333274,10.898105633038076,0.4750629338351163,0.8917210526585367,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_BF,unhealthy,11,-0.2651552612131292,7.394751028581099,11.098755795969382,2.1955581578341397,3.0373099570703275,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_VM,overall,22,-0.8723343685269356,7.246398275548762,10.55168747718573,0.949798887426203,1.5177722675464347,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_VM,healthy,11,0.07135274870829149,7.401628624309193,10.425784838138439,0.007622718811035156,0.41940025775890105,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_VM,unhealthy,11,-1.8160214857621626,7.09116792678833,10.677590116233022,1.8919750560413708,2.616144277333969,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_ST,overall,22,-1.9740426499735226,8.252232659946788,11.68579642709555,1.9556332718242297,2.651881217456254,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_ST,healthy,11,-1.3057042685422031,8.804639426144687,11.960323324245174,1.4106335206465288,1.953938743865634,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_ST,unhealthy,11,-2.642381031404842,7.699825893748891,11.411269529945928,2.500633023001931,3.349823691046875,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_0.8,overall,22,-0.942535444416783,6.950243223797191,9.518693100326715,0.6536438356746327,0.48477789068742166,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_0.8,healthy,11,0.22380096939477054,7.67892447384921,9.997574215076598,0.284918568351052,-0.008810365302940892,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_0.8,unhealthy,11,-2.1088718582283366,6.221561973745173,9.039811985576838,1.0223691029982134,0.9783661466777841,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_1.2,overall,22,-1.0903609171509743,6.624223134734414,9.732752919574828,0.3276237466118552,0.6988377099355308,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_1.2,healthy,11,-1.123053940859708,7.855234796350652,10.99371171095911,0.4612288908524947,0.98732713057957,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_1.2,unhealthy,11,-1.0576678934422405,5.393211473118175,8.471794128190545,0.19401860237121582,0.4103482892914917,checkpoint_reuse_purged_temporal_test_only_perturbation
feature_smoothing_5,overall,22,-1.0346449647437443,6.295773137699474,9.032605375133407,-0.0008262504230846058,-0.0013098345058919895,checkpoint_reuse_purged_temporal_test_only_perturbation
feature_smoothing_5,healthy,11,-0.5552589392120187,7.394002849405462,10.00614769000471,-3.056092695756392e-06,-0.00023689037482813288,checkpoint_reuse_purged_temporal_test_only_perturbation
feature_smoothing_5,unhealthy,11,-1.5140309902754696,5.197543425993486,8.0590630602621,-0.0016494447534734552,-0.002382778636955846,checkpoint_reuse_purged_temporal_test_only_perturbation
