model,subject,status,n_train,n_val,n_test,selected_params,val_mae,ME,MAE,RMSE
random_forest,1Nmar,healthy,177,26,51,"depth=14,leaf=1",17.329448900833867,6.817458949051035,12.310311422652479,15.50499822211004
svr_rbf,1Nmar,healthy,177,26,51,"C=1.0,eps=0.5",6.919411312610039,-7.367592717120996,13.268147258001,18.553237426348705
xgboost,1Nmar,healthy,177,26,51,"depth=3,lr=0.05",17.47531509399414,6.464596014396817,11.75778930794959,14.17076029986712
random_forest,2Nmar,healthy,237,34,68,"depth=14,leaf=1",8.800372000608848,-1.0089839576779573,12.577692513751561,17.11183792734328
svr_rbf,2Nmar,healthy,237,34,68,"C=1.0,eps=0.5",11.343247384066244,-8.289859535543538,11.796448666276985,19.219204961503905
xgboost,2Nmar,healthy,237,34,68,"depth=5,lr=0.05",8.138442039489746,-2.1353055904893314,12.922338271842284,17.622361337644342
random_forest,3Nmar,healthy,221,32,63,"depth=14,leaf=1",18.312979326195357,-2.633880407612563,14.173521239926847,18.43633111244209
svr_rbf,3Nmar,healthy,221,32,63,"C=10.0,eps=0.5",13.180569073924742,-4.947221198060277,11.150456942736957,13.102198759859723
xgboost,3Nmar,healthy,221,32,63,"depth=3,lr=0.05",14.21387004852295,-1.6976765715886677,11.340115679634941,14.378430660918369
random_forest,4Nmar,healthy,242,35,69,"depth=8,leaf=2",11.193851846767494,-0.500859211919693,8.92233767886853,13.675443227941509
svr_rbf,4Nmar,healthy,242,35,69,"C=10.0,eps=0.5",6.18924102764889,-1.4387319077768088,8.98804120970127,11.920411933806252
xgboost,4Nmar,healthy,242,35,69,"depth=5,lr=0.05",6.721439838409424,-0.2513396627661111,8.103000100971997,12.367897079155323
random_forest,5Nmar,healthy,208,30,60,"depth=8,leaf=2",8.007991868124641,-1.8330404319937634,10.652069285776554,13.714601683487848
svr_rbf,5Nmar,healthy,208,30,60,"C=1.0,eps=0.5",5.007165149824833,-10.758834368595162,13.8296009168789,21.436065758668647
xgboost,5Nmar,healthy,208,30,60,"depth=5,lr=0.05",8.639993667602539,-1.5699996785571178,11.208256356293957,14.750460186506137
random_forest,6Nmar,healthy,234,34,67,"depth=14,leaf=1",4.400386455573289,0.4339293350139182,2.651506860467162,3.8161606858957255
svr_rbf,6Nmar,healthy,234,34,67,"C=10.0,eps=0.5",8.1914195554618,0.99608099119799,6.8763484331848,7.984750548004892
xgboost,6Nmar,healthy,234,34,67,"depth=3,lr=0.05",4.224790096282959,1.4115984475434715,2.811023754860038,3.885294399452762
random_forest,7Nmar,healthy,263,38,76,"depth=14,leaf=1",7.613638746073802,2.6697359279903656,4.737063651238799,8.133583826142702
svr_rbf,7Nmar,healthy,263,38,76,"C=1.0,eps=0.5",7.240732511722254,-4.360200214515137,11.124567913879336,17.417191939769392
xgboost,7Nmar,healthy,263,38,76,"depth=3,lr=0.05",7.120929718017578,4.018709399198231,5.8793302868541915,8.17847856102614
random_forest,8Nmar,healthy,301,43,86,"depth=14,leaf=1",6.733287673871075,0.7834720606891328,8.147149982207806,10.71655257060252
svr_rbf,8Nmar,healthy,301,43,86,"C=10.0,eps=0.5",8.544587932806325,-0.6160222457382178,5.7502495836565135,8.096399536630228
xgboost,8Nmar,healthy,301,43,86,"depth=5,lr=0.05",7.497546672821045,-0.12740273065431867,9.142666892971583,12.47885678294518
random_forest,9Nmar,healthy,165,24,48,"depth=14,leaf=1",12.387822974589398,-1.826318084338201,9.074782563243526,13.106051136572267
svr_rbf,9Nmar,healthy,165,24,48,"C=10.0,eps=0.5",16.627197095033583,-4.4885165516705205,7.7701679993710036,11.69141243837441
xgboost,9Nmar,healthy,165,24,48,"depth=3,lr=0.05",12.945037841796875,-1.733282695679615,8.982810486884167,12.733325992768679
random_forest,10Nmar,healthy,183,27,53,"depth=14,leaf=1",5.133379662105883,3.0405198037650387,6.695582693461707,9.145900472249126
svr_rbf,10Nmar,healthy,183,27,53,"C=10.0,eps=0.5",3.846843345411434,0.482750967982989,10.958647038046575,14.139010313150939
xgboost,10Nmar,healthy,183,27,53,"depth=3,lr=0.05",4.57152795791626,2.502567544017198,6.274971189082794,8.415529142439793
random_forest,11Nmar,healthy,184,27,53,"depth=14,leaf=1",8.16480974295625,0.08123820638459774,4.961403252219535,6.307875341785742
svr_rbf,11Nmar,healthy,184,27,53,"C=10.0,eps=0.5",4.874327319174984,0.3613667293749665,3.911100151894655,4.83256612316905
xgboost,11Nmar,healthy,184,27,53,"depth=5,lr=0.05",7.276243209838867,1.5186464764037222,4.411570767186722,5.111269220085556
random_forest,1Amar,unhealthy,432,62,124,"depth=8,leaf=2",8.414129611646711,-3.0843642946721497,8.787590422285998,11.889761810204698
svr_rbf,1Amar,unhealthy,432,62,124,"C=10.0,eps=0.5",8.901657669272929,-1.09163562924569,7.629520022989447,10.154241299409506
xgboost,1Amar,unhealthy,432,62,124,"depth=3,lr=0.05",8.332340240478516,-4.082275967023546,9.636619833508327,12.404508875623003
random_forest,2Amar,unhealthy,366,53,105,"depth=8,leaf=2",5.032225817594973,1.6380354614335282,4.9768085425754816,6.489808922270274
svr_rbf,2Amar,unhealthy,366,53,105,"C=10.0,eps=0.5",5.609536980139502,-1.0419777224519513,6.394822065461837,8.337652892168194
xgboost,2Amar,unhealthy,366,53,105,"depth=3,lr=0.05",4.589662075042725,1.1448380803778058,6.320906446803184,8.030928589120148
random_forest,3Amar,unhealthy,1507,216,431,"depth=14,leaf=1",2.1676357278245777,-2.657681245564123,4.580890864969645,8.434655661336757
svr_rbf,3Amar,unhealthy,1507,216,431,"C=1.0,eps=0.5",3.1633009506927636,-3.4713807412380606,5.7760394660177585,9.503875917906923
xgboost,3Amar,unhealthy,1507,216,431,"depth=5,lr=0.05",2.3412044048309326,-3.0649459959459415,4.900512766672121,9.238200352885308
random_forest,4Amar,unhealthy,1957,280,560,"depth=14,leaf=1",5.937790302480677,-3.5310572339539417,8.434414516883056,13.37509040299551
svr_rbf,4Amar,unhealthy,1957,280,560,"C=10.0,eps=0.5",4.641637689856516,-4.268251507080723,9.235375061937095,13.460237816698436
xgboost,4Amar,unhealthy,1957,280,560,"depth=3,lr=0.05",6.162091255187988,-3.570924652727055,8.817774109129926,13.230962003050386
random_forest,5Amar,unhealthy,1590,228,455,"depth=8,leaf=2",10.96859451258362,-1.1309395506832554,7.347763940189511,11.15043251173481
svr_rbf,5Amar,unhealthy,1590,228,455,"C=10.0,eps=0.5",9.503381539057468,-1.4663780401358164,9.214958492500642,13.244825908779895
xgboost,5Amar,unhealthy,1590,228,455,"depth=3,lr=0.05",8.970640182495117,-0.7162961480709222,7.77544200364705,11.184210830903252
random_forest,6Amar,unhealthy,1776,254,508,"depth=8,leaf=2",3.1730803885052614,-4.4289327039768995,6.47776218068035,10.601133602696272
svr_rbf,6Amar,unhealthy,1776,254,508,"C=10.0,eps=0.5",2.980789319766677,-4.807387633601543,6.75904422312421,10.12110784925673
xgboost,6Amar,unhealthy,1776,254,508,"depth=3,lr=0.05",2.7166059017181396,-4.713317832209199,6.744208475970846,10.68645631769745
random_forest,7Amar,unhealthy,529,76,151,"depth=8,leaf=2",5.394621840824887,0.8649319439273663,10.64702176270895,16.05667373151174
svr_rbf,7Amar,unhealthy,529,76,151,"C=10.0,eps=0.5",5.487275784658954,0.4806939047908539,9.047137026107473,11.927208435774622
xgboost,7Amar,unhealthy,529,76,151,"depth=5,lr=0.05",5.52728796005249,1.586924644964223,10.578094445588375,15.968884783974882
random_forest,8Amar,unhealthy,335,48,96,"depth=8,leaf=2",5.481007804130752,-5.1084498095441,7.628068034624339,10.603565919460737
svr_rbf,8Amar,unhealthy,335,48,96,"C=1.0,eps=0.5",4.127196541520788,6.939820880929472,12.391765309151191,17.65864200731941
xgboost,8Amar,unhealthy,335,48,96,"depth=5,lr=0.05",5.614369869232178,-4.25167533068452,6.8377375294221565,9.555809461846883
random_forest,9Amar,unhealthy,1101,158,315,"depth=8,leaf=2",7.146296392203331,0.09281424785442091,8.143684745578238,12.042099882265456
svr_rbf,9Amar,unhealthy,1101,158,315,"C=1.0,eps=0.5",5.8277285063022175,2.347343098791441,8.797359952459358,12.909183666064328
xgboost,9Amar,unhealthy,1101,158,315,"depth=3,lr=0.05",7.494314670562744,0.012003439617535425,8.310878478889428,11.772973122246656
random_forest,10Amar,unhealthy,780,112,223,"depth=8,leaf=2",5.132671983832255,-1.8665493456199682,6.2172944380859585,10.224337863580681
svr_rbf,10Amar,unhealthy,780,112,223,"C=10.0,eps=0.5",8.543256257751077,-1.0945662505580092,7.428174097355143,9.7451490849134
xgboost,10Amar,unhealthy,780,112,223,"depth=3,lr=0.05",5.221980571746826,-2.141691694345175,6.773665690101316,10.165596212883077
random_forest,11Amar,unhealthy,944,135,270,"depth=8,leaf=2",4.963624240386951,-0.16618959512101245,5.9641040403716525,9.419488881728777
svr_rbf,11Amar,unhealthy,944,135,270,"C=1.0,eps=0.5",7.421330549909101,-3.3456162773849036,7.766042095597774,10.789747176204193
xgboost,11Amar,unhealthy,944,135,270,"depth=5,lr=0.05",5.505007743835449,-0.10162000650608981,5.984887060467844,9.373528743031926
