subject,status,model,split,role,main_result,me,mae,rmse,n_train,n_val,n_test,total_rows,valid_rows,skipped_rows,feature_rows,feature_dim,elapsed_seconds,evaluation_mode,split_mode,scaler_scope,feature_scaler,target_scaler,channels,feature_set,horizons,seed_or_ensemble
1Nmar,healthy,mlp_rf_vm_original,val,baseline,False,7.005233287811279,7.005233287811279,7.276473021412754,3533,504,1011,5700,5681,19,5432,16,1.2237238883972168,enhanced_publishable,purged_temporal,train,minmax,none,"RF,VM",original,1,42
1Nmar,healthy,mlp_rf_vm_original,test,baseline,False,-8.335996627807617,14.587481498718262,20.53530746151765,3533,504,1011,5700,5681,19,5432,16,1.2237238883972168,enhanced_publishable,purged_temporal,train,minmax,none,"RF,VM",original,1,42
1Nmar,healthy,transformer_rf_vm_original,val,candidate,False,1.4752168655395508,2.763613224029541,3.0125544436271805,3533,504,1011,5700,5681,19,5432,16,0.9857451915740967,enhanced_publishable,purged_temporal,train,minmax,none,"RF,VM",original,1,42
1Nmar,healthy,transformer_rf_vm_original,test,candidate,False,-15.29091739654541,16.57567596435547,24.674072940807346,3533,504,1011,5700,5681,19,5432,16,0.9857451915740967,enhanced_publishable,purged_temporal,train,minmax,none,"RF,VM",original,1,42
1Nmar,healthy,transformer_4ch_extended,val,candidate,False,10.702292442321777,10.702292442321777,14.261518674986622,3533,504,1011,5700,5681,19,5432,56,1.6008656024932861,enhanced_publishable,purged_temporal,train,standard,standard,"RF,BF,VM,ST",extended,1,42
1Nmar,healthy,transformer_4ch_extended,test,candidate,False,3.154445171356201,6.407063961029053,7.26843102526892,3533,504,1011,5700,5681,19,5432,56,1.6008656024932861,enhanced_publishable,purged_temporal,train,standard,standard,"RF,BF,VM,ST",extended,1,42
1Nmar,healthy,causalgaitnet_4ch_extended,val,candidate,False,8.227472305297852,8.227472305297852,10.452496200374705,3533,504,1011,5700,5681,19,5432,56,8.999794006347656,enhanced_publishable,purged_temporal,train,standard,standard,"RF,BF,VM,ST",extended,1,42
1Nmar,healthy,causalgaitnet_4ch_extended,test,candidate,False,0.1491355150938034,7.2230377197265625,9.597479775544837,3533,504,1011,5700,5681,19,5432,56,8.999794006347656,enhanced_publishable,purged_temporal,train,standard,standard,"RF,BF,VM,ST",extended,1,42
1Nmar,healthy,causalgaitnet_multihorizon_4ch_extended,val,candidate,False,7.116375923156738,7.116375923156738,8.404376533799221,3493,499,999,5700,5681,19,5432,56,5.604501485824585,enhanced_publishable,purged_temporal,train,standard,standard,"RF,BF,VM,ST",extended,"1,5,10,20",42
1Nmar,healthy,causalgaitnet_multihorizon_4ch_extended,test,candidate,False,3.0105578899383545,10.604730606079102,12.59695976756861,3493,499,999,5700,5681,19,5432,56,5.604501485824585,enhanced_publishable,purged_temporal,train,standard,standard,"RF,BF,VM,ST",extended,"1,5,10,20",42
1Nmar,healthy,transformer_rf_vm_original,test,candidate,True,-15.29091739654541,16.57567596435547,24.674072940807346,3533,504,1011,5700,5681,19,5432,16,1.0397891998291016,enhanced_publishable,purged_temporal,train,minmax,none,"RF,VM",original,1,42
