model,group,n_subjects,main_result,me,mae,rmse
causalgaitnet_4ch_extended,overall,1,False,0.1491355150938034,7.2230377197265625,9.597479775544837
causalgaitnet_4ch_extended,healthy,1,False,0.1491355150938034,7.2230377197265625,9.597479775544837
causalgaitnet_multihorizon_4ch_extended,overall,1,False,3.0105578899383545,10.604730606079102,12.59695976756861
causalgaitnet_multihorizon_4ch_extended,healthy,1,False,3.0105578899383545,10.604730606079102,12.59695976756861
mlp_rf_vm_original,overall,1,False,-8.335996627807617,14.587481498718262,20.53530746151765
mlp_rf_vm_original,healthy,1,False,-8.335996627807617,14.587481498718262,20.53530746151765
transformer_4ch_extended,overall,1,False,3.154445171356201,6.407063961029053,7.26843102526892
transformer_4ch_extended,healthy,1,False,3.154445171356201,6.407063961029053,7.26843102526892
transformer_rf_vm_original,overall,1,True,-15.29091739654541,16.57567596435547,24.674072940807346
transformer_rf_vm_original,healthy,1,True,-15.29091739654541,16.57567596435547,24.674072940807346
